DDB ID,Name,v1,v2,v3,v4,CH2,C=C,ACH,ACCH2,OH,CH3OH,H2O,ACOH,CH2CO,CHO,CCOO,HCOO,CH2O,CH2NH2,CH2NH,(C)3N,ACNH2,PYRIDINE,CH2CN,COOH,CCL,CCL2,CCL3,CCL4,ACCL,CNO2,ACNO2,CS2,CH3SH,FURFURAL,DOH,I,BR,C=-C,DMSO,ACRY,CLCC,ACF,DMF,CF2,COO,CY-CH2,CY-CH2O,CHCL3,CY-CONC,CONR,CONR2,HCONR,ACS,EPOXIDES,CARBONAT,SULFONE,CH2S,Molecular formula,CAS No,Mol.Weight,Tc [K],Tm [K],Dipol Mom.,Polarizab.,Anisotr.,norm. Aniso.,H-Bond Acc.,H-Bond Don.,Dipol Mom._normed,Polarizab._normed,Anisotr._normed,norm. Aniso._normed,H-Bond Acc._normed,H-Bond Don._normed,training samples,AN_short,AN_long,AN_cyc,EN_lin,EN_branch,C_ARO_small,C_ARO_kond,POL_ARO_all,POL_ARO_ether,POL_ARO_on,H_ARO_all,HET_ARO_all,XALK_cl,XALK_br,XALK_i,OL_wl,OL_wul,OL_diol,OL_fol,OL_polyol,OL_etherol,OL_biol,COO_wl,COO_wul,COO_aro,COO2_small,COO2_med,COO2_long,NHR_ion,NHR_tert,NHR_long,ON_wl,ON_wul,COC_cyc,COC_wl,COC_wul,CN_wl,CN_wul,NO2_wl,NO2_wul,COOH_all,FF_all,CONR_wl,CONR_wul,PO_wl,PO_wul,S_POL_all,S_NPOL_all,FACID_all,H2O_all,Exo
3,Acetonitrile,0.597159288711289,-0.604514551448552,-1.62148668331668,0.189313566733267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H3N,75-05-8,41.0526,548.0,229.3,4.0013,27.34934,16.3491,0.597787734548622,0.0243587557547561,0.0,1.4468458995337132,-0.997772066675261,-0.6619380869979978,1.000098626774823,0.7217962131469734,-0.36804184584334126,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,Acetone,0.406549811488511,-0.46520753046953,-0.948088421578422,0.0890510885924077,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H6O,67-64-1,58.08,508.1,178.35,2.9948,39.95949,11.7346,0.293662406602286,0.034435261707989,0.0,0.7608237851509759,-0.7973084474574113,-0.8000336932267904,-0.570902852669802,1.3416950934644098,-0.36804184584334126,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Ethylenediamine,0.0152762925674326,-0.345636950066933,-2.20124358641359,-0.0503449010539461,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H8N2,107-15-3,60.099,593.0,284.6,0.0005,42.85596,10.73185,0.250416744835491,0.0166392119669213,0.0332784239338425,-1.2800664454463733,-0.751263249013624,-0.8300424415518358,-0.7942943047200729,0.24689582874290247,2.3772012657072685,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ethyl bromide,0.284269520091908,-0.2350131369998,-0.235608098901099,0.712589460949051,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H5Br,74-96-4,108.966,503.8,154.55,2.215,45.29201,20.30129,0.448231156003012,0.0,0.0,0.22931852454922813,-0.71253734967098,-0.5436630682567752,0.2275434182284044,-0.7767356676836642,-0.36804184584334126,15,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,"1,2-Ethanediol",-0.0527450369617383,0.451518180819181,-3.21024626373626,0.184577773206793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H6O2,107-21-1,62.0684,720.0,261.65,2.4759,34.78057,4.95875,0.14257241902591,0.0,0.0322227234645872,0.407145816792106,-0.8796377652561453,-1.0028108334294914,-1.3513790978237084,-0.7767356676836642,2.2901131738299187,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ethanol,-0.430134030969031,0.456824633366633,-1.23461458541459,0.204325858095604,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H6O,64-17-5,46.069,516.2,158.65,1.5987,31.10233,5.5009,0.176864562880016,0.0,0.0217065705789142,-0.19074648200226832,-0.9381107653990354,-0.9865862082443274,-1.1742382819241706,-0.7767356676836642,1.4226022506323777,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Diethyl ether,0.118714479112587,0.516011837162838,-0.243141012987013,0.570955293706294,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H10O,60-29-7,74.1228,466.7,156.85,1.0691,56.66093,15.66111,0.27640051089878,0.0269821782712518,0.0,-0.5517174822775768,-0.5318055701284532,-0.6825271857366146,-0.6600715643695125,0.8831871444998671,-0.36804184584334126,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Aniline,0.675860847182817,-0.757110472527472,-1.44706711288711,-0.0222287506866134,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H7N,62-53-3,93.1283,699.0,267.45,1.6573,75.95476,50.1422,0.660158757660481,0.0107379091143373,0.0214758182286745,-0.15080520440382975,-0.2250914556751024,0.34936945029752947,1.322284780242762,-0.11614777463602781,1.4035667548039399,23,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Methoxybenzene,0.542797716683317,-0.851840898101899,-0.56027986013986,0.807101969030969,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7H8O,100-66-3,108.14,647.4,235.65,1.3003,83.89444,52.52345,0.626065922843039,0.0184945441094877,0.0,-0.39413346554107503,-0.09887432199853406,0.4206318107552847,1.146173522761065,0.361034432256044,-0.36804184584334126,17,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,2-Methylpyridine,-0.102499986635365,-0.644212841158842,-0.51672716983017,0.0674264506503497,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H7N,109-06-8,93.1283,621.0,206.44,1.851,73.71596,44.21743,0.599835232424566,0.0107379091143373,0.0,-0.01878087896325717,-0.2606816707562014,0.17206211365950502,1.010675260473794,-0.11614777463602781,-0.36804184584334126,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
