DDB ID,Name,u1,u2,u3,u4,CH2,C=C,ACH,ACCH2,OH,CH3OH,H2O,ACOH,CH2CO,CHO,CCOO,HCOO,CH2O,CH2NH2,CH2NH,(C)3N,ACNH2,PYRIDINE,CH2CN,COOH,CCL,CCL2,CCL3,CCL4,ACCL,CNO2,ACNO2,CS2,CH3SH,FURFURAL,DOH,I,BR,C=-C,DMSO,ACRY,CLCC,ACF,DMF,CF2,COO,CY-CH2,CY-CH2O,CHCL3,CY-CONC,CONR,CONR2,HCONR,ACS,EPOXIDES,CARBONAT,SULFONE,CH2S,Molecular formula,Mol.Weight,Tc [K],Tm [K],Dipol Mom.,Polarizab.,Anisotr.,norm. Aniso.,H-Bond Acc.,H-Bond Don.,Dipol Mom._normed,Polarizab._normed,Anisotr._normed,norm. Aniso._normed,H-Bond Acc._normed,H-Bond Don._normed,training samples,img,I_x,Attributes,X_alk,Cl_alk,Br_alk,I_alk,F_alk,F_full,X,Cl,Br,I_y,F,_CHn,_COR,an,en,in,aro,c_aro,sub_aro,het_aro,cyc,five,six,low,high,sym,npol_short,npol_mid,npol_long,pol_mono,pol_oligo,coc,ol,cooh,cond,poly,keto,on,al,cooc,concH1,conc,nh2R,nhR2,nR3,cn,no2,s,h2o,H2O_x,AN_short,AN_long,AN_cyc,AN_branch,EN_lin,EN_branch,EN_cyc,IN_lin,C_ARO_small,C_Aro_kond,POL_ARO_all,H_ARO_all,HET_ARO_all,XALK_cl,XALK_br,XALK_i,OL_wl,OL_wul,COO_wl,COO_wul,NHR_prim,NHR_tert,ON_wl,ON_wul,AL_wl,AL_wul,COC_cyc,COC_wl,COC_wul,CN_wl,CN_wul,NO2_wl,NO2_wul,COOH_all,FF_all,CONR_wl,S_NPOL_all,S_POL_all,SN_all,H2O_y,Exo
1,Acetaldehyde,0.913867954965036,0.108331996054945,-0.242525453746254,0.264256641073926,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H4O,44.053,461.0,150.2,2.7035,27.99043,10.27296,0.367016869694392,0.0453998592604363,0.0,1.1283312671903134,-1.2023542960755935,-0.7678059851572497,-0.22447414141997288,1.9830342428990049,-0.2686332728825099,7,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/75-07-0/PNG?image_size=small,0,"npol_short,al,keto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,Acetonitrile,-0.932200712287712,0.0936822157092908,-0.338548161838162,1.52214132867133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H3N,41.0526,548.0,229.3,4.0013,27.34934,16.3491,0.597787734548622,0.0243587557547561,0.0,2.185090923786498,-1.216916225679161,-0.5816544861058228,0.9415615002755068,0.7945988897019389,-0.2686332728825099,24,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/75-05-8/PNG?image_size=small,0,"npol_short,pol_mono,cn",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4,Acetone,-0.595464478521479,0.278063565434566,-0.348083289710289,0.79140044055944,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H6O,58.08,508.1,178.35,2.9948,39.95949,11.7346,0.293662406602286,0.034435261707989,0.0,1.36552812954697,-0.9304851214809599,-0.7230264907622016,-0.5951184967932565,1.3637361456585892,-0.2686332728825099,56,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/67-64-1/PNG?image_size=small,0,"npol_short,on,keto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Ethyl bromide,-0.0123297523846154,0.788012110889111,-0.910396124875125,-0.208315474455545,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H5Br,108.966,503.8,154.55,2.215,45.29201,20.30129,0.448231156003012,0.0,0.0,0.7305603531455942,-0.8093605042671289,-0.46057332388176947,0.1858842134379077,-0.5812227962200803,-0.2686332728825099,6,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/74-96-4/PNG?image_size=small,0,"X_alk,Br_alk,X,Br,npol_short,pol_mono",1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Ethyl iodide,0.194762299322678,0.781195108891108,-1.08242925074925,0.0532598345784215,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H5I,155.966,565.0,164.65,2.0665,56.28744,29.31468,0.520803220043406,0.0,0.0,0.6096412523561557,-0.5596066824621524,-0.18443484451244288,0.5525752743565326,-0.5812227962200803,-0.2686332728825099,40,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/75-03-6/PNG?image_size=small,1,"X_alk,I_alk,X,I,npol_short,pol_mono",1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Ethanol,0.678856224775225,-0.378441075924076,-0.161048350949051,1.83466398601399,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C2H6O,46.069,516.2,158.65,1.5987,31.10233,5.5009,0.176864562880016,0.0,0.0217065705789142,0.2287257281184493,-1.1316695735977182,-0.914005072499436,-1.1852729287202342,-0.5812227962200803,1.6982493788254471,93,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/64-17-5/PNG?image_size=small,0,"npol_short,pol_mono,ol",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Diethyl ether,-0.148044625035964,-0.254340825774226,-0.640185206793207,0.0456098055664336,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C4H10O,74.1228,466.7,156.85,1.0691,56.66093,15.66111,0.27640051089878,0.0269821782712518,0.0,-0.20251168452859936,-0.5511231074763681,-0.6027320731647765,-0.6823391502593351,0.9427740110369507,-0.2686332728825099,13,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/60-29-7/PNG?image_size=small,0,"npol_short,coc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Formic acid ethyl ester,-0.907632990139861,0.146930918958341,-0.547041404595405,0.640137954045954,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C3H6O2,74.0794,508.4,193.95,2.2019,44.09085,17.14168,0.388780892180577,0.0539964092387856,0.0,0.7198934156348764,-0.836644048484978,-0.557372630335847,-0.11450520776977523,2.468581206110216,-0.2686332728825099,4,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/109-94-4/PNG?image_size=small,0,"npol_short,cooc,keto",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Aniline,-0.438302474355645,0.592060228991008,-0.673622129870129,1.10866164935065,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C6H7N,93.1283,699.0,267.45,1.6573,75.95476,50.1422,0.660158757660481,0.0107379091143373,0.0214758182286745,0.2764419524030358,-0.11287669239705699,0.4536469096149432,1.2567088911880433,0.025271573595192907,1.6773403737443686,2,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/62-53-3/PNG?image_size=small,0,"aro,sub_aro,cyc,six,pol_mono,nh2R",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Methoxybenzene,-0.332718654862338,1.05343654237762,-1.172050999001,0.463853826173826,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,C7H8O,108.14,647.4,235.65,1.3003,83.89444,52.52345,0.626065922843039,0.0184945441094877,0.0,-0.014252451515008596,0.0674678165406143,0.5266000109450983,1.084445115391714,0.4633787882473974,-0.2686332728825099,5,https://pubchem.ncbi.nlm.nih.gov/rest/pug/compound/name/100-66-3/PNG?image_size=small,0,"aro,sub_aro,cyc,six,pol_mono,coc",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
